Johan Sundstein, N0tail,Denmark,"$7,184,163.05",Dota 2
Jesse Vainikka, JerAx,Finland,"$6,486,948.78",Dota 2
Anathan Pham, ana,Australia,"$6,024,411.96",Dota 2
Sébastien Debs, Ceb,France,"$5,823,909.40",Dota 2
Topias Taavitsainen, Topson,Finland,"$5,690,417.57",Dota 2
Kuro Takhasomi, KuroKy,Germany,"$5,276,347.73",Dota 2
Amer Al-Barkawi, Miracle-,Jordan,"$4,877,285.26",Dota 2
Lasse Urpalainen, Matumbaman,Finland,"$4,873,411.04",Dota 2
Ivan Ivanov, MinD_ContRoL,Bulgaria,"$4,660,359.74",Dota 2
Maroun Merhej, GH,Lebanon,"$4,274,654.27",Dota 2
Yaroslav Naidenov, Miposhka,Russian Federation,"$4,217,479.69",Dota 2
Clement Ivanov, Puppey,Estonia,"$4,214,772.80",Dota 2
Magomed Khalilov, Collapse,Russian Federation,"$3,985,389.27",Dota 2
Alexander Khertek, TORONTOTOKYO,Russian Federation,"$3,984,373.90",Dota 2
Ilya Mulyarchuk, Yatoro,Ukraine,"$3,984,081.15",Dota 2
Miroslaw Kolpakov, Mira,Ukraine,"$3,971,177.25",Dota 2
"Wang, Chunyu", Ame,China,"$3,912,904.27",Dota 2
Sumail Hassan, SumaiL,Pakistan,"$3,880,289.31",Dota 2
"Zhang, Ruida", Faith_bian,China,"$3,847,426.86",Dota 2
"Zhang, Yiping", y`,China,"$3,765,987.28",Dota 2
Ludwig Wåhlberg, Zai,Sweden,"$3,652,271.02",Dota 2
Kyle Giersdorf, Bugha,United States,"$3,492,986.72",Fortnite
"Lu, Yao", Somnus,China,"$3,266,951.12",Dota 2
Saahil Arora, UNiVeRsE,United States,"$3,057,237.67",Dota 2
"Xu, Linsen", fy,China,"$3,052,133.05",Dota 2
Martin Sazdov, Saksa,North Macedonia,"$3,037,070.35",Dota 2
Peter Dager, ppd,United States,"$3,029,331.36",Dota 2
Gustav Magnusson, s4,Sweden,"$2,743,953.74",Dota 2
Tal Aizik, Fly,Israel,"$2,694,098.46",Dota 2
Artour Babaev, Arteezy,Canada,"$2,567,317.71",Dota 2
Clinton Loomis, Fear,United States,"$2,564,313.19",Dota 2
"Hu, Liangzhi", KaKa,China,"$2,437,664.19",Dota 2
Andreas Nielsen, Cr1t,Denmark,"$2,317,980.71",Dota 2
Yazied Jaradat, YapzOr,Jordan,"$2,297,190.64",Dota 2
Aliwi Omar, w33,Romania,"$2,294,025.43",Dota 2
Neta Shapira, 33,Israel,"$2,289,866.20",Dota 2
Michał Jankowski, Nisha,Poland,"$2,283,552.28",Dota 2
Jing Jun Wu, Sneyking,United States,"$2,260,243.02",Dota 2
David Wang, Aqua,Austria,"$2,169,124.23",Fortnite
Roman Fominok, Resolut1on,Ukraine,"$2,057,883.45",Dota 2
"Yap, Jianwei", xNova,Malaysia,"$2,028,185.72",Dota 2
Peter Rasmussen, dupreeh,Denmark,"$2,024,831.07",Counter-Strike: Global Offensive
Kurtis Ling, Aui_2000,Canada,"$2,008,582.54",Dota 2
"Li, Peng", iceice,China,"$2,002,159.51",Dota 2
"Yang, Shenyi", Chalice,China,"$1,994,542.62",Dota 2
