Resident Evil Village,"
Action, Adventure, Drama            ",2021,"Directors:
Morimasa Sato, 
America Young","
Ethan Winters' world suddenly comes crashing down when Chris Redfield's appearance sets off a chain of events that ultimately leads him to a mysterious village.",5334,"Stars:
Todd Soley, 
Katie O'Hagan, 
Jeff Schine, 
Michelle Lukes",8.7
Marvel's Guardians of the Galaxy,"
Action, Adventure, Comedy            ",2021,"Directors:
Jean-François Dugas, 
Robert Darryl Purdy","
After an epic conflict known as the Galactic War swept through the cosmos. Star-Lord recently formed the Guardians of the Galaxy, they've been together for less than a year.",4052,"Stars:
Jon McLaren, 
Kimberly-Sue Murray, 
Alex Weiner, 
Jason Cavalier",8.7
It Takes Two,"
Adventure, Comedy, Drama            ",2021,"Director:
Josef Fares","
Embark on the craziest journey of your life in It Takes Two, a genre-bending platform adventure created purely for co-op. Invite a friend to join for free with Friend's Pass and work ...                See full summary »
",2587,"Stars:
Joseph Balderrama, 
Annabelle Dowler, 
Clare Corbett, 
Stephen Greif",9.2
Far Cry 6,"
Action, Adventure, Crime            ",2021,"Directors:
Ben Bauer, 
Omar Bouali, 
Kama Dunsmore, 
Benjamin Hall, 
Ji Wen Jing, 
Karri Kiviluoma, 
Anthony Kwan, 
Alexandre Letendre, 
Catherine Tirran, 
Grant Harvey","
As dictator of Yara, Anton Castillo is intent on restoring his nation back to its former glory by any means, with his son, Diego, following in his bloody footsteps.",2317,"Stars:
Giancarlo Esposito, 
Anthony Gonzalez, 
Nisa Gunduz, 
Sean Rey",7.5
Halo Infinite,"
Action, Adventure, Sci-Fi            ",2021,None,"
When all hope is lost and humanity's fate hangs in the balance, Master Chief is ready to confront the most ruthless foe he's ever faced.",2110,"Stars:
Steve Downes, 
Jen Taylor, 
Nicolas Roye, 
Bruce Thomas",8.3
Mass Effect: Legendary Edition,"
Action, Adventure, Drama            ",2021,"Directors:
Casey Hudson, 
Mac Walters","
A compilation of the first three Mass Effect games.",1983,"Stars:
Steven Barr, 
Kimberly Brooks, 
Keith David, 
Seth Green",9.6
Life Is Strange: True Colors,"
Drama, Mystery, Sci-Fi            ",2021,"Directors:
Zak Garriss, 
Webb Pickersgill, 
Jonathan Zimmerman","
Alex Chen has long suppressed her 'curse': the supernatural ability to experience, absorb and manipulate the strong emotions of others, which she sees as blazing, colored auras.",1521,"Stars:
Erika Mori, 
Han Soto, 
Eric Emery, 
Katy Bentz",7.9
Call of Duty: Vanguard,"
Action, Drama, Horror            ",2021,"Directors:
JB Blanc, 
Josh Bridge","
Dogfight over the Pacific, airdrop over France, defend Stalingrad with a sniper's precision and blast through advancing forces in North Africa.",1391,"Stars:
Laura Bailey, 
Elya Baskin, 
Steven Brand, 
Terrell Clayton",6.1
Little Nightmares II,"
Adventure, Horror            ",2021,"Director:
Viktor Lidäng","
Little Nightmares II is a suspense-adventure game in which you play as Mono, a young boy trapped in a world that has been distorted by the humming transmission of a distant tower.",1387,"Stars:
Hilda Liden, 
Tobias Lilja, 
Christian Vasselbring",8.7
Ratchet & Clank: Rift Apart,"
Action, Adventure, Comedy            ",2021,None,"
They've travelled through space. They've travelled through time. Now, they'll have to travel through dimensions as their galaxy seems to rip itself apart. Ratchet and Clank must save the universe - again.",1372,"Stars:
James Arnold Taylor, 
Jennifer Hale, 
David Kaye, 
Debra Wilson",8.9
