Johan Sundstein, N0tail,Denmark,"$7,184,163.05",Dota 2
Jesse Vainikka, JerAx,Finland,"$6,486,948.78",Dota 2
Anathan Pham, ana,Australia,"$6,024,411.96",Dota 2
Sébastien Debs, Ceb,France,"$5,823,909.40",Dota 2
Topias Taavitsainen, Topson,Finland,"$5,690,417.57",Dota 2
Kuro Takhasomi, KuroKy,Germany,"$5,276,347.73",Dota 2
Amer Al-Barkawi, Miracle-,Jordan,"$4,877,285.26",Dota 2
Lasse Urpalainen, Matumbaman,Finland,"$4,873,411.04",Dota 2
Ivan Ivanov, MinD_ContRoL,Bulgaria,"$4,660,359.74",Dota 2
Maroun Merhej, GH,Lebanon,"$4,274,654.27",Dota 2
